# M=26, N=13, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=0.0, Vnum=201, PBC
# start time 2022-10-16 02:17:39
#                       V#                 S1(n=1)#                 S2(n=1)                 S3(n=1)#                 S4(n=1)#                 S5(n=1)#                 S6(n=1)#                 S7(n=1)#                 S8(n=1)#                 S9(n=1)#                S10(n=1)#               S1/2(n=1)#               Sinf(n=1)
     -1.000000000000E-02      2.444267599477E-05      3.533979377579E-06      2.650486874867E-06      2.355986437497E-06      2.208735508269E-06      2.120384382298E-06      2.061483157068E-06      2.019410447751E-06      1.987855560159E-06      1.963312553421E-06      2.367385949223E-03      2.294637511113E-07
     -2.000000000000E-02      8.813515669948E-05      1.416551573952E-05      1.062417442910E-05      9.443680081933E-06      8.853421462174E-06      8.499257134087E-06      8.263139950948E-06      8.094478280096E-06      7.967976304535E-06      7.869580791464E-06      4.731751892605E-03      9.127904996298E-07
     -3.000000000000E-02      1.857222893951E-04      3.193937370716E-05      2.395472155747E-05      2.129293033049E-05      1.996197639897E-05      1.916335738983E-05      1.863090584253E-05      1.825054998861E-05      1.796525394360E-05      1.774333110482E-05      7.093118850874E-03      2.042390640611E-06
     -4.000000000000E-02      3.144139579656E-04      5.690074390596E-05      4.267616502052E-05      3.793387432927E-05      3.556254348158E-05      3.413959659770E-05      3.319084169817E-05      3.251305365115E-05      3.200461988984E-05      3.160908898758E-05      9.451499622878E-03      3.610659924380E-06
     -5.000000000000E-02      4.722957158143E-04      8.909525359391E-05      6.682292865223E-05      5.939694365376E-05      5.568349533558E-05      5.345506179077E-05      5.196913564642E-05      5.090749945813E-05      5.011104450370E-05      4.949137704724E-05      1.180690762970E-02      5.609984169208E-06
     -6.000000000000E-02      6.579146477876E-04      1.285689707657E-04      9.642982771130E-05      8.571286663361E-05      8.035343476243E-05      7.713701487821E-05      7.499210103035E-05      7.345947638404E-05      7.230953252169E-05      7.141470921068E-05      1.415935634949E-02      8.032739088115E-06
     -7.000000000000E-02      8.701044091146E-04      1.753684053991E-04      1.315320711130E-04      1.169126687728E-04      1.096011936301E-04      1.052128901406E-04      1.022861725883E-04      1.001946470955E-04      9.862511672321E-05      9.740358317156E-05      1.650885912336E-02      1.087128666821E-05
     -8.000000000000E-02      1.107894133146E-03      2.295405164641E-04      1.721652680189E-04      1.530276770034E-04      1.434558353219E-04      1.377102951134E-04      1.338779058915E-04      1.311387460188E-04      1.290828546767E-04      1.274824758544E-04      1.885542931016E-02      1.411798845075E-05
     -9.000000000000E-02      1.370454777887E-03      2.911327092128E-04      2.183654271670E-04      1.940895174539E-04      1.819466510629E-04      1.746570055570E-04      1.697939710055E-04      1.663175717237E-04      1.637078198686E-04      1.616758333052E-04      2.119908002247E-02      1.776518938046E-05
     -1.000000000000E-01      1.657064888188E-03      3.601928444299E-04      2.701689652063E-04      2.401301211914E-04      2.251031636833E-04      2.160809675265E-04      2.100611530182E-04      2.057569859990E-04      2.025250993896E-04      2.000080670328E-04      2.353982440414E-02      2.180523212258E-05
