# M=28, N=14, Vp=0.0, t=1.0, n=3, Vstart=-1.75, Vstop=1.75, Vnum=16454199681226724124, PBC
# start time 2022-05-15 19:25:16
#                       V#                 S₁(n=3)#                 S₂(n=3)                 S₃(n=3)#                 S₄(n=3)#                 S₅(n=3)#                 S₆(n=3)#                 S₇(n=3)#                 S₈(n=3)#                 S₉(n=3)#                S₁₀(n=3)#               S₀₋₅(n=3)
     -1.750000000000E+00      7.251916594906E-01      4.369549461338E-01      3.159905374780E-01      2.376388940277E-01      1.732473362425E-01      1.148314267718E-01      6.092931833879E-02      1.204303296469E-02     -3.127615152553E-02     -6.900277216195E-02      1.119685960494E+00
     -1.650000000000E+00      6.462818538211E-01      3.789786305299E-01      2.805482139278E-01      2.234960220283E-01      1.799315531841E-01      1.413599904970E-01      1.050177693152E-01      7.033155966987E-02      3.757588433850E-02      7.201600509743E-03      1.046892060115E+00
     -1.000000000000E+00      2.577353627885E-01      1.154412677760E-01      8.723461829627E-02      7.642689941900E-02      7.052902999740E-02      6.661292164999E-02      6.368184564381E-02      6.130716598721E-02      5.927418217161E-02      5.746332883650E-02      6.261760529907E-01
     -5.000000000000E-01      7.538000960223E-02      2.527333836257E-02      1.899553929829E-02      1.684351452387E-02      1.575133228994E-02      1.508333137553E-02      1.462740006208E-02      1.429263074972E-02      1.403356960704E-02      1.382496450197E-02      3.165206575087E-01
      5.000000000000E-01      6.383287512956E-02      2.048449056195E-02      1.539607255564E-02      1.366647081285E-02      1.279429422320E-02      1.226522096462E-02      1.190770149477E-02      1.164821369020E-02      1.144999655544E-02      1.129262738205E-02      2.943829349189E-01
      1.650000000000E+00      3.841699518280E-01      1.890656666732E-01      1.452516983931E-01      1.281555932201E-01      1.190402211516E-01      1.132127726576E-01      1.090419678460E-01      1.058233286713E-01      1.032043193650E-01      1.009892007293E-01      8.081155417763E-01
      1.750000000000E+00      4.159677792558E-01      2.102808982473E-01      1.620926285157E-01      1.429771968850E-01      1.327155984805E-01      1.261261129161E-01      1.213914339452E-01      1.177246225619E-01      1.147316275853E-01      1.121936407407E-01      8.439771270546E-01


 Calculation finished at  2022-05-16 15:25:08
