# M=22, N=11, Vp=0.0, t=1.0, n=4, Vstart=-1.75, Vstop=1.75, Vstep=16454199681226724124, PBC
# start time 2022-05-06 18:19:32
#                       V#                 S₁(n=4)#                 S₂(n=4)                 S₃(n=4)#                 S₄(n=4)#                 S₅(n=4)#                 S₆(n=4)#                 S₇(n=4)#                 S₈(n=4)#                 S₉(n=4)#                S₁₀(n=4)#               S₀₋₅(n=4)
     -1.750000000000E+00      8.403926904838E-01      4.807489632177E-01      3.387170279719E-01      2.504054233974E-01      1.821651883202E-01      1.247766446795E-01      7.529728860786E-02      3.243639675140E-02     -4.732036276975E-03     -3.705424613935E-02      1.381311249106E+00
     -1.650000000000E+00      7.419871478923E-01      4.154934557437E-01      3.016671031270E-01      2.368867666498E-01      1.886467548061E-01      1.478483508596E-01      1.115875033251E-01      7.890136040700E-02      4.941835844123E-02      2.289523293488E-02      1.279688661300E+00
     -1.000000000000E+00      2.850959790795E-01      1.243253396903E-01      9.373979742462E-02      8.212641362232E-02      7.578744475084E-02      7.156470653212E-02      6.838799073847E-02      6.579787080296E-02      6.356474204350E-02      6.156125834568E-02      7.342802834262E-01
     -5.000000000000E-01      8.232370463000E-02      2.710530394617E-02      2.036707173985E-02      1.806357012321E-02      1.689596534077E-02      1.618286679872E-02      1.569695286847E-02      1.534079796080E-02      1.506568918326E-02      1.484456375741E-02      3.650543209508E-01
      5.000000000000E-01      6.955696764000E-02      2.203175655399E-02      1.655858649478E-02      1.470194615023E-02      1.376704419846E-02      1.320094314591E-02      1.281923171254E-02      1.254287573824E-02      1.233235817563E-02      1.216572514535E-02      3.376663546462E-01
      1.650000000000E+00      4.192217848848E-01      2.048420736634E-01      1.576377297139E-01      1.393928556087E-01      1.297686772736E-01      1.236838248046E-01      1.193749059381E-01      1.160809479050E-01      1.134212588535E-01      1.111845371134E-01      9.265499723289E-01
      1.750000000000E+00      4.535657099915E-01      2.278940914335E-01      1.760384251966E-01      1.556640239957E-01      1.448516598526E-01      1.379902805602E-01      1.331147900168E-01      1.293749747312E-01      1.263452981094E-01      1.237896028259E-01      9.669155083503E-01


 Calculation finished at  2022-05-06 18:23:30
